AssetName,AssetPath,CameraPosition,CameraRotation,ObjectRotation,BackgroundColor
Cheese A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Cheese A.prefab,(0 0.3 -0.7),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Cheese B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Cheese B.prefab,(0 0.01 -0.5),(0 0 0),(90 0 0),(0.003921569 0.003921569 0.003921569 1)
Cheese C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Cheese C.prefab,(0 0.3 -0.7),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Cheese D,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Cheese D.prefab,(0 0.01 -0.5),(0 0 0),(90 0 0),(0.003921569 0.003921569 0.003921569 1)
Cherry juice,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Cherry juice.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Cocktail A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Cocktail A.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Cocktail B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Cocktail B.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Cocktail C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Cocktail C.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Cocktail D,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Cocktail D.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Coffee Cup A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Coffee Cup A.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Coffee Cup B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Coffee Cup B.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Coffee Cup C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Coffee Cup C.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Corn dog A ,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Corn dog A .prefab,(0 0 -2.3),(0 0 0),(90 90 -90),(0.003921569 0.003921569 0.003921569 1)
Corn dog B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Corn dog B.prefab,(0 0 -2.3),(0 0 0),(90 90 -90),(0.003921569 0.003921569 0.003921569 1)
Cucumber-Sliced,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Cucumber-Sliced.prefab,(0 0 -0.3),(0 0 0),(90 0 0),(0.003921569 0.003921569 0.003921569 1)
Cup of noodel A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Cup of noodel A.prefab,(0 1.1 -1),(30 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Cup of noodel B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Cup of noodel B.prefab,(0 1.1 -1),(30 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Egg A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Egg A.prefab,(0 0.3 -0.5),(30 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Egg B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Egg B.prefab,(0 0.3 -0.5),(30 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Egg C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Egg C.prefab,(0 0.3 -0.5),(30 0 0),(0 -60 0),(0.003921569 0.003921569 0.003921569 1)
Frappe A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Frappe A.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Frappe B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Frappe B.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Frappe C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Frappe C.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
French Fries A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/French Fries A.prefab,(0 0 -0.7),(0 0 0),(90 0 0),(0.003921569 0.003921569 0.003921569 1)
French Fries B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/French Fries B.prefab,(0 0 -0.7),(0 0 0),(90 0 0),(0.003921569 0.003921569 0.003921569 1)
French Fries box A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/French Fries box A.prefab,(0 0.7 -0.6),(30 0 0),(0 180 0),(0.003921569 0.003921569 0.003921569 1)
French Fries box B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/French Fries box B.prefab,(0 0.7 -0.6),(30 0 0),(0 180 0),(0.003921569 0.003921569 0.003921569 1)
French Fries box C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/French Fries box C.prefab,(0 0.7 -0.6),(30 0 0),(0 180 0),(0.003921569 0.003921569 0.003921569 1)
French Fries Empty box A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/French Fries Empty box A.prefab,(0 0.5 -0.6),(20 0 0),(0 180 0),(0.003921569 0.003921569 0.003921569 1)
French Fries Empty box B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/French Fries Empty box B.prefab,(0 0.5 -0.6),(20 0 0),(0 180 0),(0.003921569 0.003921569 0.003921569 1)
French Fries Empty box C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/French Fries Empty box C.prefab,(0 0.5 -0.6),(20 0 0),(0 180 0),(0.003921569 0.003921569 0.003921569 1)
French Fries,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/French Fries.prefab,(0 0 -0.7),(0 0 0),(90 0 0),(0.003921569 0.003921569 0.003921569 1)
Fried chicken A 1,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Fried chicken A 1.prefab,(0.03 0 -0.6),(0 0 0),(-30 90 -120),(0.003921569 0.003921569 0.003921569 1)
Fried chicken A 2,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Fried chicken A 2.prefab,(0.05 -0.02 -0.6),(0 0 0),(30 -100 120),(0 0 0 1)
Fried chicken B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Fried chicken B.prefab,(0 0 -0.7),(0 0 0),(90 180 0),(0.003921569 0.003921569 0.003921569 1)
Fried chicken Box A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Fried chicken Box A.prefab,(0 1 -1.5),(20 0 0),(0 180 0),(0.003921569 0.003921569 0.003921569 1)
Fried chicken Box C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Fried chicken Box C.prefab,(0 1 -1.5),(20 0 0),(0 180 0),(0.003921569 0.003921569 0.003921569 1)
Fried chicken Bucket  A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Fried chicken Bucket  A.prefab,(0 1.4 -1.5),(30 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Fried chicken Bucket  B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Fried chicken Bucket  B.prefab,(0 1.4 -1.5),(30 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Fried chicken C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Fried chicken C.prefab,(0 0.1 -0.5),(0 0 0),(90 90 90),(0.003921569 0.003921569 0.003921569 1)
Fried chicken D,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Fried chicken D.prefab,(0.03 0 -0.5),(0 0 0),(0 90 90),(0.003921569 0.003921569 0.003921569 1)
Hot Dog Cooked,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Hot Dog Cooked.prefab,(0 0 -1.2),(0 0 0),(90 0 0),(0.003921569 0.003921569 0.003921569 1)
Hot Dog Raw,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Hot Dog Raw.prefab,(0 0 -1.2),(0 0 0),(90 0 0),(0.003921569 0.003921569 0.003921569 1)
Hot sauce bottle,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Hot sauce bottle.prefab,(0 0.45 -1),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Hotdog A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Hotdog A.prefab,(0.15 0.8 -1),(30 0 0),(0 -45 0),(0.003921569 0.003921569 0.003921569 1)
Hotdog B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Hotdog B.prefab,(0.15 0.8 -1),(30 0 0),(0 -45 0),(0.003921569 0.003921569 0.003921569 1)
Hotdog Bun,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Hotdog Bun.prefab,(0.1 0.8 -1),(30 0 0),(0 -45 0),(0.003921569 0.003921569 0.003921569 1)
Ketchup Plastic Bottle,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Ketchup Plastic Bottle.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Ketchup pot,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Ketchup pot.prefab,(0 0.4 -0.5),(30 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Lettuce leaf A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Lettuce leaf A.prefab,(0 0.3 -0.7),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Lettuce leaf B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Lettuce leaf B.prefab,(0 0.3 -0.6),(20 0 0),(0 60 0),(0.003921569 0.003921569 0.003921569 1)
Lime juice,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Lime juice.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Milk A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Milk A.prefab,(0 1.2 -1.4),(20 0 0),(0 138 0),(0.003921569 0.003921569 0.003921569 1)
Milk B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Milk B.prefab,(0 1 -1.4),(20 0 0),(0 138 0),(0.003921569 0.003921569 0.003921569 1)
Milk C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Milk C.prefab,(0 1 -1.4),(20 0 0),(0 138 0),(0.003921569 0.003921569 0.003921569 1)
Milk shake A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Milk shake A.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Milk shake B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Milk shake B.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Milk shake C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Milk shake C.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Milk shake D,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Milk shake D.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Mushroom,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Mushroom.prefab,(0 0 -0.3),(0 0 0),(90 0 0),(0.003921569 0.003921569 0.003921569 1)
Mushrooms,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Mushrooms.prefab,(0 0 -0.5),(0 0 0),(90 0 0),(0.003921569 0.003921569 0.003921569 1)
Mustard Plastic Bottle,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Mustard Plastic Bottle.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Mustard pot,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Mustard pot.prefab,(0 0.4 -0.5),(30 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Noodle box A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Noodle box A.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Noodle box B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Noodle box B.prefab,(0 1.2 -1.4),(20 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 1)
Olive A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Olive A.prefab,(0 0 -0.5),(0 0 0),(90 0 0),(1 1 1 1)
Olive B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Olive B.prefab,(0 0 -0.3),(0 0 0),(90 0 0),(1 1 1 1)
Olive C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Olive C.prefab,(0 0.06 -0.3),(0 0 0),(0 90 0),(1 1 1 1)
Olive D,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Olive D.prefab,(0 0 -0.3),(0 0 0),(90 0 0),(1 1 1 1)
Onion A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Onion A.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Onion B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Onion B.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Orange juice,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Orange juice.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Paprika A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Paprika A.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Paprika Green,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Paprika Green.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Paprika Orange,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Paprika Orange.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Paprika Red,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Paprika Red.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pepperoni slice,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pepperoni slice.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pickled cucumber,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pickled cucumber.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Box Bottom,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Box Bottom.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Box top,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Box top.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Box,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Box.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Cheese cut,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Cheese cut.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Cheese Slice,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Cheese Slice.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Cheese,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Cheese.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Margarita cut,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Margarita cut.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Margarita Slice,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Margarita Slice.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Margarita,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Margarita.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Mushrooms cut,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Mushrooms cut.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Mushrooms Slice,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Mushrooms Slice.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Mushrooms,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Mushrooms.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Pepperoni cut,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Pepperoni cut.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Pepperoni Slice,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Pepperoni Slice.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Pepperoni,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Pepperoni.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Seafood cut,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Seafood cut.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Seafood Slice,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Seafood Slice.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Seafood,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Seafood.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Vegetarian cut,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Vegetarian cut.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Vegetarian Slice,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Vegetarian Slice.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Pizza Vegetarian,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Pizza Vegetarian.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Plate,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Plate.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Popcorn,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Popcorn.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Sandwich A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Sandwich A.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Sandwich B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Sandwich B.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Sandwich C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Sandwich C.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Skewer A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Skewer A.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Skewer B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Skewer B.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Skewer C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Skewer C.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Skewer D,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Skewer D.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Skewer E,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Skewer E.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Skewer F,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Skewer F.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Skewer G,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Skewer G.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Smoothie Grape,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Smoothie Grape.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Smoothie Kiwi ,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Smoothie Kiwi .prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Smoothie Peach ,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Smoothie Peach .prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Smoothie Watermelon ,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Smoothie Watermelon .prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Soda bottle Glass A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Soda bottle Glass A.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Soda bottle Glass B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Soda bottle Glass B.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Soda bottle Glass C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Soda bottle Glass C.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Soda bottle plastic A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Soda bottle plastic A.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Soda bottle plastic B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Soda bottle plastic B.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Soda bottle plastic C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Soda bottle plastic C.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Soda can A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Soda can A.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Soda can B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Soda can B.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Soda can C,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Soda can C.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Soda cup A,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Soda cup A.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
Soda cup B,Assets/Ultimate Food Pack collection/Prefabs/Fast Food & Drinks/Soda cup B.prefab,(0 0 0),(0 0 0),(0 0 0),(0.003921569 0.003921569 0.003921569 0.003921569)
